TYPE,AGE,2008,2009,2010,2011,2012,2013,2014,2015
THOUGHT,18-25,6.8,6.1,6.7,6.8,7.2,7.4,7.5,8.3
THOUGHT,26-29,4.6,4.5,4.5,4.5,4.4,4.7,4.7,5.8
THOUGHT,30-34,3.8,4.2,3.8,2.8,3.9,4.4,4.3,4.4
THOUGHT,35-39,3.8,4.8,3.1,4.2,3.7,3.6,3.7,3.7
THOUGHT,40-44,3.8,4,3.9,3.4,4.2,3.2,4.2,3.5
THOUGHT,45-49,4,4.2,5.1,3.6,4.5,4,3.3,3.5
THOUGHT,50-54,3.2,3.2,3,4,2.6,4.9,3.7,3.5
THOUGHT,55-59,3.4,3.7,3.6,3.5,2.6,3.5,4,3.1
THOUGHT,60-64,2,1.8,2.6,2.2,3.3,2.1,2.6,2.8
THOUGHT,65+,1.5,1.2,1.7,1.6,1.9,1.5,1.6,1.8
PLAN,18-25,2,2,1.9,1.9,2.4,2.5,2.3,2.7
PLAN,26-29,1.2,0.9,0.9,1.6,1.4,1.5,1.2,1.6
PLAN,30-34,1.1,0.8,1.1,0.6,0.8,1.4,1,1.1
PLAN,35-39,1.1,1.1,0.7,1.3,1.4,1.3,1.3,0.9
PLAN,40-44,0.9,1.3,1.3,1,1.4,1.1,1.1,0.8
PLAN,45-49,1,1,1.1,1,1.5,1.1,1,0.9
PLAN,50-54,1.2,1,1.4,1.3,0.7,0.7,0.7,1.3
PLAN,55-59,0.8,0.9,0.9,1,0.5,1,0.9,0.7
PLAN,60-64,0.6,0.6,0.7,0.4,0.9,0.5,0.9,0.5
PLAN,65+,0.3,0.3,0.7,0.3,0.4,0.4,0.5,0.4
ATTEMPT,18-25,1.2,1.1,1.2,1.2,1.5,1.3,1.2,1.6
ATTEMPT,26-29,0.6,0.5,0.3,0.7,0.6,0.6,0.6,0.7
ATTEMPT,30-34,0.6,0.4,0.5,0.4,0.4,0.8,0.4,0.6
ATTEMPT,35-39,0.3,0.6,0.2,0.5,0.4,0.7,0.4,0.4
ATTEMPT,40-44,0.3,0.3,0.4,0.5,0.6,0.6,0.5,0.5
ATTEMPT,45-49,0.5,0.5,0.5,0.3,0.5,0.4,0.6,0.4
ATTEMPT,50-54,0.7,0.2,0.3,0.6,0.2,0.2,0.3,0.6
ATTEMPT,55-59,0.2,0.3,0.3,0.6,0.3,0.6,0.3,0.3
ATTEMPT,60-64,0.2,0.2,0.3,0,0.3,0.3,0.1,0.3
ATTEMPT,65+,0.1,0.2,0.4,0.1,0.3,0.1,0.1,0.2
