name1,name2,street1,street2,city,state,zip,zip4,phone,website,latitude,longitude,mh,psy,omh,cmhc,msnh,tt,sma,smi,ptsd,coot,imr,prs,sps,,,,,,,,,,,,,,,,,,,,,,,
Providence Kodiak Island,Counseling Center,717 East Rezanof Drive,,Kodiak,AK,99615,,907-481-2400,http://,57.792146,-152.395902,1,,1,,,1,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Hill House,,606 Hill Road,,Ketchikan,AK,99901,,907-225-4664 x4,http://,55.359665,-131.689212,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PeaceHealth Ketchikan Medical Center,,3100 Tongass Avenue,,Ketchikan,AK,99901,,907-228-8140 x7301,http://www.peacehealth.org,55.3535001,-131.6866322,1,,1,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Community Connections,,1800 CK Highway,Suite 241,Craig,AK,99921,,907-826-3891,http://www.comconnections.org/,55.476389,-133.148333,1,,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Akeela Gateway Ctr for Human Services,,3050 5th Avenue,,Ketchikan,AK,99901,,907-225-4135,http://www.akeela.us/,55.3539953,-131.685073,1,,,1,,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Community Connections,,721 Stedman Street,,Ketchikan,AK,99901,,907-225-7825,http://www.comconnections.org,55.338278,-131.634657,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Gateway Center for Human Services,Akeela Inc,3050 Fifth Avenue,,Ketchikan,AK,99901,,907-225-4135,http://akeela.org,55.3540246,-131.6851732,1,,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Sitka Counseling and Prevention Servs,,113 Metlakatla Street,,Sitka,AK,99835,,907-747-3636,http://www.scpsak.org,57.0486831,-135.3199759,1,,,1,,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Island Community Services,SEARHC,333 Church Street,,Wrangell,AK,99929,,907-874-2373,http://www.akics.org/,56.470784,-132.3794518,1,,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Juneau Youth Services Inc,Light House,8460 Rainbow Row,,Juneau,AK,99801,,907-789-7610,http://www.jys.org/lighthouse.php,58.3827,-134.565,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Juneau Youth Services Inc,Montana Creek,10801 Black Bear Road,,Juneau,AK,99801,,907-523-6770,http://www.jys.org,58.397,-134.601,1,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Co Occurring Disorders Institute Inc,,11921 East Palmer Wasilla Highway,,Palmer,AK,99645,,907-745-2634,http://www.codialaska.org/,61.600275,-149.150782,1,,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Youth Advocates of Sitka,,805 Lincoln Street,,Sitka,AK,99835,,907-747-3687,http://www.sitkayouth.org,57.050435,-135.323327,1,,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
NeuroBehavioral Consultants LLC,,300 Harbor Drive,,Sitka,AK,99835,,907-747-3743,http://,57.0500798,-135.3330126,1,,1,,,1,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Petersburg Mental Health Services,,201 North Nordic Drive,,Petersburg,AK,99833,,907-772-3332,http://www.raincountry.org,56.812567,-132.957614,1,,,1,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Timberline House,,1962 Lemon Creek Road,,Juneau,AK,99801,,907-463-6829,http://www.jamhi.org,58.361,-134.49,1,,,,,1,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Juneau Alliance for Mental Health Inc,,3406-A Glacier Highway,,Juneau,AK,99801,,907-463-3303,http://www.jamhi.org,58.3319,-134.471,1,,,1,,1,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
